Tempo de Leitura: 3.8909058570861816

Vertice Inicial: 358

Tempo da Busca: 0.09516263008117676

0: (3/1998)
1: (7/1994)
2: (4/1997)
3: (6/1995)
4: (2/1999)
5: (5/1996)
6: (10/1991)
7: (8/1993)
8: (13/1988)
9: (9/1992)
10: (11/1990)
11: (12/1989)
12: (16/1985)
13: (14/1987)
14: (15/1986)
15: (18/1983)
16: (17/1984)
17: (19/1982)
18: (20/1981)
19: (21/1980)
20: (25/1976)
21: (26/1975)
22: (22/1979)
23: (23/1978)
24: (24/1977)
25: (27/1974)
26: (29/1972)
27: (30/1971)
28: (31/1970)
29: (28/1973)
30: (32/1969)
31: (33/1968)
32: (35/1966)
33: (34/1967)
34: (37/1964)
35: (41/1960)
36: (36/1965)
37: (39/1962)
38: (38/1963)
39: (40/1961)
40: (43/1958)
41: (46/1955)
42: (45/1956)
43: (42/1959)
44: (44/1957)
45: (47/1954)
46: (50/1951)
47: (48/1953)
48: (52/1949)
49: (49/1952)
50: (51/1950)
51: (54/1947)
52: (53/1948)
53: (56/1945)
54: (55/1946)
55: (57/1944)
56: (58/1943)
57: (61/1940)
58: (59/1942)
59: (60/1941)
60: (63/1938)
61: (64/1937)
62: (65/1936)
63: (67/1934)
64: (66/1935)
65: (69/1932)
66: (62/1939)
67: (68/1933)
68: (71/1930)
69: (70/1931)
70: (72/1929)
71: (73/1928)
72: (74/1927)
73: (75/1926)
74: (76/1925)
75: (77/1924)
76: (78/1923)
77: (79/1922)
78: (80/1921)
79: (81/1920)
80: (83/1918)
81: (84/1917)
82: (82/1919)
83: (85/1916)
84: (88/1913)
85: (86/1915)
86: (87/1914)
87: (92/1909)
88: (89/1912)
89: (91/1910)
90: (93/1908)
91: (94/1907)
92: (90/1911)
93: (95/1906)
94: (96/1905)
95: (99/1902)
96: (100/1901)
97: (97/1904)
98: (101/1900)
99: (102/1899)
100: (98/1903)
101: (103/1898)
102: (105/1896)
103: (104/1897)
104: (106/1895)
105: (107/1894)
106: (108/1893)
107: (109/1892)
108: (113/1888)
109: (110/1891)
110: (111/1890)
111: (112/1889)
112: (115/1886)
113: (117/1884)
114: (116/1885)
115: (114/1887)
116: (120/1881)
117: (118/1883)
118: (121/1880)
119: (119/1882)
120: (122/1879)
121: (123/1878)
122: (124/1877)
123: (125/1876)
124: (127/1874)
125: (126/1875)
126: (128/1873)
127: (130/1871)
128: (129/1872)
129: (132/1869)
130: (136/1865)
131: (133/1868)
132: (135/1866)
133: (131/1870)
134: (134/1867)
135: (137/1864)
136: (139/1862)
137: (141/1860)
138: (140/1861)
139: (142/1859)
140: (138/1863)
141: (143/1858)
142: (146/1855)
143: (150/1851)
144: (147/1854)
145: (144/1857)
146: (148/1853)
147: (145/1856)
148: (149/1852)
149: (152/1849)
150: (153/1848)
151: (151/1850)
152: (154/1847)
153: (155/1846)
154: (157/1844)
155: (156/1845)
156: (158/1843)
157: (162/1839)
158: (160/1841)
159: (159/1842)
160: (163/1838)
161: (161/1840)
162: (164/1837)
163: (166/1835)
164: (165/1836)
165: (167/1834)
166: (170/1831)
167: (173/1828)
168: (168/1833)
169: (169/1832)
170: (171/1830)
171: (175/1826)
172: (172/1829)
173: (174/1827)
174: (178/1823)
175: (176/1825)
176: (177/1824)
177: (179/1822)
178: (180/1821)
179: (182/1819)
180: (185/1816)
181: (181/1820)
182: (184/1817)
183: (183/1818)
184: (187/1814)
185: (186/1815)
186: (188/1813)
187: (189/1812)
188: (190/1811)
189: (193/1808)
190: (192/1809)
191: (197/1804)
192: (194/1807)
193: (191/1810)
194: (198/1803)
195: (196/1805)
196: (195/1806)
197: (199/1802)
198: (200/1801)
199: (201/1800)
200: (205/1796)
201: (207/1794)
202: (204/1797)
203: (202/1799)
204: (206/1795)
205: (208/1793)
206: (210/1791)
207: (203/1798)
